product_id,product_name,category,subcategory,brand,unit_cost,unit_price,shelf_life_days,unit_of_measure,reorder_point,max_stock
P0001,FreshChoice Tea 001,Beverages,Soft Drink,Regular,3.92,2.41,365,unit,42,266
P0002,FreshChoice Rice 002,Grocery,Pulses,Regular,12.88,0.92,45,liter,19,279
P0003,FreshChoice Soap 003,Personal Care,Skin Care,Premium,7.31,4.62,60,unit,10,244
P0004,ValuePlus Tea 004,Beverages,Tea,Regular,18.38,10.91,90,unit,40,200
P0005,HomeBest Detergent 005,Household,Paper,Regular,1.62,4.87,60,unit,19,493
P0006,GreenBasket Tea 006,Beverages,Coffee,Economy,20.94,3.59,60,pack,47,186
P0007,HomeBest Soft Drink 007,Beverages,Soft Drink,Regular,11.83,5.69,365,pack,48,216
P0008,DailyMart Rice 008,Grocery,Oil,Premium,7.06,4.54,180,kg,18,385
P0009,GreenBasket Ice Cream 009,Frozen,Frozen Food,Premium,3.92,15.0,180,kg,42,269
P0010,ValuePlus Bread 010,Bakery,Bread,Economy,12.59,15.21,30,pack,45,131
P0011,HomeBest Bread 011,Bakery,Cake,Premium,15.1,9.57,60,unit,48,419
P0012,NutriMax Tea 012,Beverages,Tea,Regular,7.69,3.5,30,kg,37,440
P0013,HomeBest Milk 013,Dairy,Cheese,Economy,12.94,4.3,60,pack,39,448
P0014,HomeBest Oil 014,Grocery,Spices,Regular,3.24,7.51,60,pack,8,173
P0015,FreshChoice Coffee 015,Beverages,Juice,Economy,19.26,2.92,90,pack,21,320
P0016,DailyMart Bun 016,Bakery,Bun,Economy,5.43,6.51,365,kg,33,314
P0017,FreshChoice Frozen Food 017,Frozen,Frozen Food,Regular,8.78,11.93,45,pack,5,86
P0018,DailyMart Rice 018,Grocery,Rice,Premium,2.24,5.06,365,liter,18,326
P0019,NutriMax Butter 019,Dairy,Yogurt,Premium,20.28,4.13,30,liter,27,266
P0020,GreenBasket Bun 020,Bakery,Bread,Economy,16.51,13.07,30,liter,26,459
P0021,DailyMart Soft Drink 021,Beverages,Soft Drink,Economy,11.49,8.67,60,liter,20,497
P0022,GreenBasket Juice 022,Beverages,Juice,Economy,24.98,16.79,30,pack,15,258
P0023,GreenBasket Frozen Food 023,Frozen,Ice Cream,Regular,4.53,0.44,90,kg,34,196
P0024,NutriMax Bun 024,Bakery,Bun,Economy,18.1,3.43,60,pack,8,346
P0025,NutriMax Oil 025,Grocery,Rice,Regular,14.81,10.26,180,pack,8,310
P0026,DailyMart Juice 026,Beverages,Juice,Economy,21.61,8.31,180,pack,42,354
P0027,HomeBest Rice 027,Grocery,Spices,Economy,14.8,10.65,60,pack,47,416
P0028,DailyMart Cleaner 028,Household,Cleaner,Regular,16.96,6.28,60,unit,5,284
P0029,FreshChoice Soft Drink 029,Beverages,Tea,Regular,23.36,17.66,45,kg,23,130
P0030,HomeBest Ice Cream 030,Frozen,Frozen Food,Economy,20.52,6.27,365,unit,13,185
P0031,FreshChoice Soft Drink 031,Beverages,Tea,Premium,15.32,14.47,45,kg,37,300
P0032,FreshChoice Shampoo 032,Personal Care,Skin Care,Premium,1.58,6.94,45,kg,15,429
P0033,HomeBest Ice Cream 033,Frozen,Frozen Food,Regular,2.34,17.71,45,unit,28,348
P0034,GreenBasket Yogurt 034,Dairy,Milk,Premium,9.43,18.69,30,kg,18,399
P0035,NutriMax Chips 035,Snacks,Chocolate,Economy,22.16,8.36,180,pack,20,492
P0036,DailyMart Butter 036,Dairy,Milk,Regular,18.55,6.91,90,pack,22,131
P0037,GreenBasket Juice 037,Beverages,Coffee,Regular,5.39,18.4,60,kg,19,164
P0038,NutriMax Pulses 038,Grocery,Spices,Premium,7.33,1.76,60,kg,46,310
P0039,NutriMax Bun 039,Bakery,Cake,Regular,3.33,19.42,45,kg,7,105
P0040,ValuePlus Bun 040,Bakery,Cake,Premium,15.35,10.42,90,pack,21,72
P0041,FreshChoice Bun 041,Bakery,Bun,Economy,18.13,14.94,365,pack,28,270
